clip_id,label,spectral_centroid,spectral_bandwidth,spectral_contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,cqt_1,cqt_2,cqt_3,cqt_4,cqt_5,cqt_6,cqt_7,cqt_8,cqt_9,cqt_10,cqt_11,cqt_12
180937-7-0-4,jackhammer,1490.9128061995143,1559.7808483930692,16.15657615961468,-69.570244,102.2272,-31.643217,24.009735,7.5035195,11.574975,-4.9711294,2.8281996,14.980208,2.4692183,-1.9624801,2.0238583,-0.2512353,0.47365606,0.42982438,0.660155,0.45277742,0.38653883,0.35282135,0.56473976,0.9811814,0.6819251,0.71938074,0.54072565,0.40617585
180937-7-1-13,jackhammer,1599.7527828922182,1639.8533869364358,16.20429774133888,-67.22965,96.78094,-31.875841,20.027256,7.29116,9.65998,-1.6640193,0.06793537,9.381479,-1.580641,-7.4106135,-2.7219312,2.604538,0.5401917,0.6429636,0.84045696,0.61082625,0.6214828,0.5317075,0.56128514,0.9569652,0.71046495,0.7365847,0.5842263,0.53485227
157867-8-0-10,siren,1863.7742311546824,1255.8712761298323,25.148390925893377,-287.811,51.488407,-39.535698,-14.942818,8.505999,32.30599,7.1470947,-12.55856,-1.0344795,15.002108,5.435762,-10.371255,-1.9869909,0.13204153,0.1303532,0.1510581,0.16875906,0.19243528,0.21827556,0.2739618,0.24512486,0.052290786,0.05111659,0.07877951,0.15561676
103074-7-2-0,jackhammer,2459.97366061876,2097.124938139248,15.325940189207925,-141.26674,61.501575,2.4427323,9.893825,-13.304343,6.5957227,-8.047036,9.178905,-5.669817,-1.8064541,-2.87823,7.7957425,3.5034895,0.6050381,0.81485564,0.8511067,0.7151672,0.5970759,0.55805284,0.624206,0.7055926,0.5287657,0.6283755,0.7062758,0.5736026
113205-5-1-4,engine_idling,341.23087695008417,868.1866450069182,17.20238828275695,-379.76752,151.5035,61.124958,47.47757,29.855265,27.922997,13.967933,18.544928,3.4951313,9.609878,-1.7212454,7.123712,-2.104756,0.30598053,0.08359876,0.12642561,0.37851927,0.1381479,0.16231099,0.48458487,0.2390053,0.23113209,0.2742983,0.268046,0.99958813
57584-4-0-8,drilling,2029.92593586129,1311.2052863320323,18.818880037173827,-82.545616,75.20711,-84.11503,28.687897,-20.702644,5.9812536,-14.950598,5.939147,-14.159335,6.6348686,2.1456156,2.5574195,-9.6941,0.6166577,0.7667185,0.8172491,0.8007154,0.8893315,0.71851516,0.7442768,0.5924332,0.6518644,0.5947841,0.6553988,0.8029752
118279-8-0-8,siren,1229.5773172635518,1325.9561923507617,17.452191465001903,-344.17404,129.32228,-19.487207,5.6805043,7.9258523,34.63788,12.155831,1.0160801,-4.900677,16.74898,-0.42506453,-5.470597,-9.708415,0.65470135,0.72793055,0.7639543,0.72824764,0.6103108,0.60177267,0.63397783,0.6952882,0.6382933,0.6023668,0.6675822,0.93078786
137156-9-0-73,street_music,1072.0353719392226,1484.7121028891672,18.712384873298017,-201.26083,111.25178,-2.856356,1.5747381,-8.879133,-10.657524,-29.119907,-21.694239,-29.375319,-19.861362,-24.9887,-19.06606,-21.917532,0.3155404,0.4893826,0.6868497,0.40918607,0.30199987,0.4230181,0.59583545,0.7128101,0.5909479,0.653243,0.32033852,0.26161233
165645-4-1-0,drilling,2634.4576831735694,1658.140574830299,20.2935700572074,-233.41165,31.017065,-43.636345,-3.5779717,-65.99201,-14.339478,-1.7996174,-16.711224,-9.229675,5.640053,-24.08334,10.648363,-26.660389,0.38771218,0.4455386,0.43936226,0.6395092,0.8593417,0.81474143,0.7963327,0.6031715,0.48418227,0.3736105,0.54843634,0.4919779
182800-2-2-0,children_playing,1194.0169114343284,1647.298109520181,16.66933678061997,-266.3316,101.65511,-6.105247,18.457338,0.1975684,10.798873,2.5812664,9.293365,9.858179,14.724181,7.655784,9.802211,1.7446034,0.6791516,0.7420604,0.7578742,0.77222246,0.670401,0.6396062,0.5952335,0.49705446,0.5502373,0.55597323,0.46057388,0.390333
103074-7-0-2,jackhammer,2395.6523494584508,2065.9692389289935,15.101738955033543,-135.95976,60.05938,0.71009535,14.487741,-9.25433,15.32606,-0.6721506,14.919444,-4.657807,2.5243776,-0.13186017,4.22787,4.3990426,0.6189372,0.63154715,0.81672156,0.6894855,0.41767412,0.4438747,0.46837023,0.43776423,0.5333347,0.61543936,0.69713485,0.50347364
159738-8-0-1,siren,1048.8711194938785,1188.302084309305,18.759158933903954,-699.4977,147.11021,16.869036,-6.517151,0.42687765,14.627186,7.208985,6.998234,7.2485375,7.472722,-3.5775754,1.2864828,-4.480229,0.610792,0.59044445,0.58652836,0.5505055,0.5355377,0.5407389,0.5504455,0.599555,0.5665976,0.5693311,0.51368606,0.6140651
180937-7-4-0,jackhammer,1359.12054752371,1528.3023716074683,16.292500360183737,-68.02792,115.57829,-26.447172,6.808979,-0.014333513,17.980335,5.4042,10.666197,10.082068,-8.450146,-4.5876775,0.015408896,5.5371885,0.64802295,0.3718142,0.63685405,0.44959667,0.2942247,0.33157468,0.383417,0.9710218,0.6819221,0.4909236,0.4483508,0.75197536
164053-8-1-0,siren,862.5591779823869,1104.3055393601824,17.917739744721075,-482.45358,152.48747,-12.976658,36.308956,-4.4755754,11.575414,-0.9775366,12.360066,6.153847,3.165869,4.9140716,5.244049,4.4809074,0.47264984,0.5400109,0.33319476,0.38618705,0.35523358,0.45266,0.41922098,0.40835607,0.2982293,0.3769886,0.91456103,0.4130985
159738-8-0-0,siren,1075.3862460569487,1268.6873196295655,18.05970815908301,-700.5063,146.90385,15.874754,-4.882892,5.597088,16.161654,0.31598416,1.7789502,10.17358,12.745464,-1.2122554,3.2676344,-3.9425375,0.64390624,0.70346695,0.6807501,0.602141,0.6628003,0.66759074,0.6443449,0.670553,0.6320349,0.6193845,0.6073797,0.65888125
132016-9-0-11,street_music,978.4191611379773,1467.023323898656,15.942109151030499,-223.78165,135.60732,7.6423645,21.458609,24.752895,10.184021,-3.497289,12.524626,-2.3239677,1.1264001,-5.099767,0.72110903,-3.7183564,0.58571845,0.8587979,0.5463405,0.595774,0.61705524,0.4850153,0.71044314,0.3800472,0.919673,0.8116975,0.59669006,0.5036513
182800-2-2-1,children_playing,1215.3167964242057,1640.7643432612758,16.497904375711943,-259.713,101.35541,-8.783834,18.6848,-1.0579172,10.087564,1.6307254,8.372712,10.186467,14.175847,7.3527613,9.7828045,2.8903403,0.72980756,0.81161654,0.73499775,0.7931269,0.7698237,0.6821946,0.57488835,0.57783294,0.61068666,0.5715869,0.49578515,0.39126748
180937-7-3-17,jackhammer,2886.5312732025955,2225.1944001223465,16.3339860908217,31.290867,35.432377,-12.55622,14.4585905,14.003483,9.787924,4.227152,1.1352481,6.0788975,4.1483545,-6.4571586,0.50637466,-6.2147093,1.0,0.48596063,0.36444375,0.33679757,0.3996443,0.31640136,0.42702287,0.3693203,0.30533627,0.34744462,0.327702,0.31091753
125791-3-0-9,dog_bark,1284.8199391023347,1500.8355071528822,16.33177247815502,-373.73288,108.56045,-24.49082,10.573343,1.6743563,13.3624525,5.84573,9.522547,9.075562,14.789042,14.621845,10.896464,-0.12800437,0.7419754,0.8651223,0.831234,0.84722745,0.7459191,0.6931129,0.67542714,0.6681913,0.6150894,0.59005046,0.5596616,0.46374255
108041-9-0-9,street_music,1976.0641832599051,1693.1448651412338,18.56064111171997,-81.82378,62.206947,-25.491552,9.105937,-15.996665,8.534446,-6.4367266,-2.667138,-15.732381,2.7957044,0.5842014,4.7131624,6.279287,0.6778434,0.29676953,0.44693685,0.60366684,0.43749404,0.35356188,0.25665712,0.3327178,0.2623256,0.5660418,0.50514024,0.38564694
197318-6-1-0,gun_shot,427.638956658807,1005.5104633423928,18.713788273643594,-563.09766,26.392908,0.7291359,-4.9039135,-3.4897177,1.8908203,4.1173635,8.220927,6.5997453,6.9300756,6.339445,9.005395,6.5423813,0.83736837,0.9170607,0.80922705,0.7667552,0.658626,0.5713445,0.5260845,0.51585615,0.4537781,0.41242364,0.40255824,0.40714368
118279-8-0-9,siren,1165.6865735117835,1289.4614517143175,17.439919224522495,-343.37274,133.56786,-21.517723,6.472201,6.828558,33.213505,15.786895,7.4040546,-5.0160728,12.987127,-3.1028297,-1.1155853,-4.2312865,0.62290317,0.73946846,0.8050716,0.6135112,0.6095139,0.5559272,0.59104717,0.59938735,0.5752311,0.5474072,0.91851664,0.7295391
191431-9-0-8,street_music,2159.688497447954,2103.252318711728,16.108441304515104,-241.44208,75.92005,10.908632,8.186729,-3.7345507,11.000646,-6.8330364,-1.3601577,-5.625242,4.6706185,-4.416351,0.65104556,-5.3805594,0.70830864,0.74125385,0.86154956,0.777269,0.70282775,0.6314889,0.58485675,0.6417702,0.5986537,0.66835636,0.7392659,0.7864725
139951-9-0-33,street_music,1801.3121726748345,1711.4331344607797,21.272414018086184,-162.07101,79.52121,-13.91623,-4.931818,-10.212727,-2.9365869,-12.167587,6.9572415,5.2707005,8.347304,-4.62771,5.737048,-8.56172,0.21766023,0.24442579,0.42720166,0.21225327,0.3989126,0.2266069,0.39671,0.24597575,0.23950182,0.29072154,0.24098727,0.37623498
113205-5-1-5,engine_idling,323.78637665800886,839.7144388745901,17.093495548039346,-383.99838,152.21489,64.14264,47.265923,30.794052,28.038837,13.706228,17.290586,3.187568,9.484648,-1.9232838,7.805168,-2.483558,0.57581866,0.10873622,0.12187175,0.38262716,0.19249764,0.16132449,0.46645865,0.34093404,0.23994789,0.26904455,0.2722663,0.9532623
180937-7-1-12,jackhammer,1635.4580034158896,1651.222882897476,16.4252148152901,-63.85715,94.70297,-34.58731,18.535934,10.3925,10.705444,-3.0902658,0.3662983,11.185364,-1.8106024,-8.027438,-1.6280193,1.3722485,0.5249963,0.63277113,0.8437487,0.62498033,0.6524226,0.48930955,0.5453629,0.96278787,0.6504873,0.7313351,0.5007869,0.52080816
180937-7-0-5,jackhammer,1528.9337437241343,1574.3410779640583,16.328495707152097,-61.809498,99.70941,-34.839317,25.456032,9.084857,10.399358,-3.4373548,4.1959167,16.741867,1.380762,-3.4581642,3.597726,1.4006116,0.533104,0.43480128,0.642745,0.44905818,0.39928544,0.3446823,0.6494394,0.9882559,0.72844344,0.75452644,0.5548943,0.4510115
157867-8-0-11,siren,1892.394286923762,1318.5626129569723,25.16560586837738,-274.19705,46.357433,-40.143845,-14.479163,-3.6919718,21.962948,14.171493,5.000553,3.5662813,5.190853,-4.1764216,-6.1969724,0.27418545,0.1331078,0.12794791,0.16156408,0.18300082,0.17902844,0.11026923,0.12814465,0.2683272,0.1470998,0.13654535,0.14925238,0.1803448
99180-9-0-7,street_music,1052.0653009372465,856.0003343678785,19.400998422122775,-121.18991,214.78395,-101.95835,36.481693,-28.887217,-41.306534,14.192722,-35.064747,-1.0942909,-5.399482,-13.792781,16.935038,-19.727533,0.5441225,0.4404809,0.87860763,0.37693754,0.32380626,0.2692003,0.63573503,0.37739614,0.2815772,0.45142937,0.28588182,0.48436502
176787-5-0-8,engine_idling,1078.9970790176233,750.2450226403548,19.143222818559355,-241.78099,168.59265,-117.955055,-41.14479,-45.550552,-32.438053,-33.95381,-33.011364,-29.13713,-24.450985,-33.61236,-16.558073,-22.73629,0.7841541,0.62739927,0.7017717,0.8693243,0.6497551,0.6515201,0.64671046,0.7598395,0.76292294,0.59742796,0.7801088,0.62593335
55020-4-0-10,drilling,4624.091594890443,2046.32271956913,15.877712496696802,-180.97032,-38.21816,28.734165,19.352932,16.381607,15.20927,3.7147098,5.3235397,12.150203,-0.2054569,5.372035,-0.023839943,0.9339753,0.65580684,0.6108,0.6761385,0.56716114,0.58846766,0.6212268,0.6643569,0.58839554,0.66089183,0.61051625,0.6875457,0.72840685
192124-2-0-0,children_playing,1760.3356026704967,1492.8478693960622,19.152496735828116,-271.97647,87.96312,-31.520327,10.312194,-4.63578,14.895622,-5.1730995,4.0113063,-5.526994,1.7066678,14.932776,7.226794,-9.666747,0.45748183,0.5135984,0.6230583,0.710064,0.56143206,0.61843973,0.4880243,0.41073367,0.43000284,0.45377755,0.5459922,0.44573352
98223-7-1-0,jackhammer,3037.6849117805036,2340.6995011331337,16.222043535096446,-9.633499,30.68136,6.9294496,22.148006,20.404242,12.611086,3.2168639,3.0935292,-11.875752,-9.787836,-13.503502,-2.0872924,-4.51075,0.7749065,0.5389282,0.42585635,0.42616984,0.69216216,0.8311424,0.40999296,0.35504302,0.3164019,0.3533458,0.41997665,0.7092595
17913-4-0-0,drilling,2400.800300557042,2479.912915829938,15.839347315121227,-174.79889,75.17498,12.07646,7.219772,13.114386,6.6610994,12.645487,2.4027126,9.934539,3.1917248,2.507195,7.9764614,3.3102689,0.86849755,0.7769156,0.8191726,0.7394483,0.6200366,0.59875095,0.736861,0.7790303,0.7684687,0.6754996,0.6430306,0.8226164
134717-0-0-27,air_conditioner,812.166364731435,1091.9942237204186,18.186356302886434,-165.56119,167.00223,-6.118539,5.707247,-5.5408206,-10.369634,-0.4482385,-5.4971447,-10.344917,-2.6990297,-15.358045,-17.251125,-25.02248,0.6315973,0.64650875,0.5872644,0.6454715,0.644778,0.7119717,0.8587707,0.76603925,0.6801556,0.7176629,0.67497593,0.6327037
72261-3-0-23,dog_bark,1647.655948033943,1509.872977170325,18.432958952634234,-429.38913,89.349686,-22.773268,-9.444746,-13.970456,-7.7572303,-1.031193,-5.7682366,9.533807,-0.18721433,-11.060747,5.167669,-4.261503,0.6062705,0.5983175,0.7021454,0.593419,0.4935159,0.5170823,0.52708125,0.6480543,0.8214086,0.77831143,0.56548333,0.574308
180937-7-2-7,jackhammer,1332.3354590347205,1508.8331854483874,16.419749143129202,-97.97435,120.56591,-28.690434,16.677328,7.713425,9.688531,6.0135508,7.190415,10.113561,-4.967456,-4.193104,0.08347824,-6.2590337,0.53479075,0.52876693,0.64552206,0.6779847,0.5184986,0.591186,0.7430492,0.8961812,0.9756755,0.8029072,0.80672187,0.53411865
143651-2-0-0,children_playing,2237.593823795467,2141.5773829650775,16.88269328779525,-448.54483,65.50774,12.417047,25.782526,15.729262,14.895408,-2.7213106,1.4549425,-10.162259,-4.5332465,-10.07542,2.7241313,-10.037161,0.47098866,0.6332983,0.67957234,0.46023944,0.8735115,0.46207255,0.33541715,0.35798252,0.4718071,0.638744,0.55963594,0.6066229
57320-0-0-31,air_conditioner,1676.2314925973433,1933.569384151634,16.594124005379246,-218.16472,59.942368,18.78274,62.592358,6.0037355,13.950659,7.3996377,13.255838,2.0351405,18.078049,-3.5223565,18.555305,2.601412,0.7515876,0.83372617,0.77076995,0.72681254,0.75091285,0.7094118,0.4325251,0.48820075,0.3862013,0.46684638,0.7808523,0.5584006
54858-3-1-2,dog_bark,1160.0576253088843,1507.4312228182969,16.80359164128715,-506.18674,91.122536,-13.381426,29.238209,6.241709,12.21517,7.599262,17.424494,12.504056,14.067367,7.7748246,9.3848915,0.83011043,0.6192841,0.7349974,0.5720407,0.59806615,0.6050273,0.6087393,0.78416574,0.55896425,0.5494208,0.38017568,0.39440748,0.352277
98223-7-3-0,jackhammer,2957.591158666942,2370.590925625634,15.834376090591581,-7.1960683,34.098137,7.2934933,19.17077,22.467867,13.210364,3.3253284,4.015896,-7.4723477,-5.878418,-12.703614,-1.9054871,-8.084901,0.84238225,0.3939064,0.40461916,0.43461055,0.7168522,0.87331563,0.32656842,0.2897558,0.35139194,0.37234098,0.60991573,0.63116884
17913-4-2-0,drilling,2072.8808292063695,2212.7652551019382,15.898656101200142,-179.77766,85.51138,5.882603,13.224483,8.25408,12.302354,9.998637,1.8790209,9.064917,4.368814,3.1454794,7.9743953,1.9124719,0.9066893,0.70349085,0.8140014,0.7321704,0.71515715,0.6547048,0.8336108,0.7396651,0.7281141,0.63278747,0.75987846,0.8936196
97317-2-0-28,children_playing,1977.4388272993565,1368.592918100878,19.055211218078966,-134.08763,56.080143,-79.22633,8.828591,-14.317653,-6.0969853,-5.532965,-1.2400626,-0.92436117,18.061512,17.66626,30.93735,2.6044457,0.58253974,0.6304962,0.7338131,0.74327004,0.54932296,0.44993106,0.44061685,0.44531775,0.36799723,0.46094325,0.48325032,0.41544086
134717-0-0-19,air_conditioner,824.918052818693,1096.4010612977543,18.170733289609544,-166.35664,166.22997,-6.555112,4.897033,-7.1036067,-11.6497965,0.038412638,-4.4819016,-10.256562,-2.305476,-14.638015,-17.619179,-25.189085,0.63373065,0.63262486,0.5476825,0.6375779,0.6713005,0.79836524,0.85123503,0.81289685,0.69410753,0.7840517,0.7271491,0.66435194
197073-3-4-3,dog_bark,1106.5191108034974,1332.7863165148851,20.458145013318504,-293.2669,118.77913,-5.7593675,-24.429554,1.4509041,-2.401096,-18.126606,-6.07632,-5.245919,-9.634536,-21.27478,-0.7258169,-7.2162023,0.20642665,0.15830973,0.16116334,0.1649392,0.14901507,0.15748346,0.22872338,0.40229777,0.6522509,0.6166272,0.39485943,0.27649397
57320-0-0-33,air_conditioner,1468.6110691046563,2005.3980595101284,16.005958272192228,-230.6362,68.83164,26.044624,49.279804,10.296858,17.834131,4.586636,16.385311,5.6941686,17.314545,-1.4080616,17.590065,3.435398,0.6378313,0.8773804,0.69102556,0.7306529,0.62285006,0.7893313,0.5262565,0.4625092,0.3355805,0.46636462,0.5703067,0.49609426
180937-7-2-5,jackhammer,1524.5508119788924,1630.4996410845386,16.521570403878894,-73.00436,108.1359,-26.504469,13.852363,4.190462,7.007515,3.0369184,7.1273894,11.29253,-1.6640154,-5.413256,1.5376098,-7.3099813,0.59038574,0.47255465,0.8201527,0.52094597,0.5404367,0.42765418,0.70229906,0.97068936,0.7581407,0.9101331,0.65875643,0.45720148
134717-0-0-25,air_conditioner,812.3506826694207,1092.0297575586233,18.311757804988776,-166.34381,166.92995,-6.0620503,6.1153736,-6.184742,-11.767153,-1.207897,-5.5021563,-11.344843,-2.9057865,-14.914837,-17.591082,-24.827442,0.591375,0.59463173,0.5587393,0.6583397,0.63402057,0.7819723,0.8687736,0.75283045,0.67590773,0.7157936,0.72823536,0.6567536
57320-0-0-27,air_conditioner,1771.7159164641105,1779.880747056353,16.507275526883294,-185.66927,56.46055,-14.48859,63.24749,20.959795,18.145395,7.120223,2.8277876,0.48587698,25.332241,-2.0844457,15.291799,1.6028066,0.7563023,0.8623224,0.76021814,0.70077807,0.82004344,0.6679751,0.60702336,0.57702804,0.42814425,0.61097,0.7360752,0.5653933
103074-7-4-5,jackhammer,2271.114771678373,2200.2739685008437,16.024669690131983,-143.98721,70.32819,22.00427,16.43599,-7.0311646,2.5922759,-8.920464,13.960096,-10.919086,0.99711156,-4.0253415,6.1184754,3.4097733,0.59105635,0.46093878,0.4358094,0.8922518,0.49973932,0.40307528,0.3559775,0.40334043,0.53090626,0.40989822,0.5600044,0.47611487
17913-4-0-2,drilling,2414.156153893046,2516.314888456025,16.05355248834368,-170.62755,80.02189,17.754244,8.139813,13.092707,5.8831153,13.560512,0.81835985,10.750349,2.0303826,3.4761496,7.625908,2.5934715,0.8343263,0.6794037,0.7104719,0.60954523,0.6432014,0.55428004,0.742877,0.70164955,0.7174273,0.56648415,0.6373564,0.9112849
51022-3-29-0,dog_bark,2640.9682612955867,1367.7535214040604,20.139557703223232,-192.19794,28.983734,-38.808056,52.586006,-47.78876,4.4782176,23.932728,-15.3910055,41.16372,25.382975,-14.841039,15.7605505,-17.14825,0.4286893,0.48640615,0.53274095,0.5770372,0.5511253,0.67210287,0.6922677,0.73373085,0.655685,0.39019957,0.43048245,0.33649355
55020-4-0-9,drilling,4625.956354994852,2050.619671074385,16.207754890064052,-181.24136,-38.864746,29.058474,20.768606,16.184853,14.731691,4.4155984,3.1145427,11.596948,0.70571864,4.2860436,0.018016782,0.9709776,0.59504884,0.6048657,0.67471325,0.52054256,0.56680137,0.56860864,0.5991499,0.66358405,0.6333035,0.6422071,0.6991737,0.70636415
157867-8-0-13,siren,1945.76971186043,1288.3960122774804,25.494697106391705,-298.66415,47.242485,-36.522366,-9.316897,5.6091523,25.458658,7.369969,-3.4882095,5.3935413,12.593723,-7.0601587,-14.321807,8.303528,0.11463481,0.10193267,0.105800666,0.119709745,0.1501045,0.22521569,0.25359026,0.2204862,0.13819909,0.12655717,0.13872796,0.16262947
180937-7-1-10,jackhammer,1408.7324843294562,1604.2223287976935,16.328420194112294,-116.40213,108.75181,-18.073519,22.742073,6.1185904,9.417133,5.0152845,-0.5865633,9.045802,-0.32224587,-4.3694196,-1.5326133,-3.440073,0.5304215,0.61965775,0.7284346,0.6565924,0.48811457,0.41751564,0.49998596,0.9881212,0.696006,0.62497735,0.5612604,0.41160786
55020-4-0-12,drilling,4635.1378192327165,2010.2156358536515,16.065650994797526,-179.0942,-39.373043,29.101078,19.706429,15.3341465,14.766672,2.793325,5.6988916,13.056398,0.13294154,5.5625634,0.3754614,2.4272344,0.69029015,0.6659522,0.6384663,0.6315463,0.6353718,0.6062649,0.63168794,0.7436247,0.6542215,0.6936569,0.67467874,0.6943485
113205-5-1-7,engine_idling,338.37829018274357,858.1664106669007,17.18760007120647,-387.19534,149.81422,65.097435,50.837185,33.351562,27.608105,12.219905,16.686466,2.789447,10.901369,-1.9269624,8.260618,-3.3363402,0.21036965,0.08719367,0.22602877,0.34851697,0.14374858,0.249778,0.5103443,0.20108698,0.2916866,0.30201325,0.4194963,0.9837342
9031-3-4-0,dog_bark,1078.1748612646368,1412.3545070921946,18.968462315648868,-306.2918,-19.754442,-51.402973,30.165562,7.2176733,36.718224,7.574923,6.356193,7.932787,16.621328,6.858497,10.965031,4.5152674,0.6435105,0.851758,0.78361416,0.8098997,0.7970477,0.76613367,0.6944395,0.6131714,0.6245095,0.53390634,0.49226907,0.47742733
143651-2-0-16,children_playing,2331.034672680636,2136.445766786515,17.000099285840626,-274.93933,66.20781,13.716117,18.546152,-1.3241156,14.589251,-3.2451358,10.444595,-6.788191,3.0683174,-7.4071465,6.518514,-13.46654,0.68659025,0.61895925,0.8138261,0.7179137,0.6722059,0.7717883,0.60485864,0.5486377,0.6295798,0.61988217,0.79712576,0.568834
180937-7-3-29,jackhammer,2589.0193449976405,2240.228600234072,16.42709787174525,24.427155,56.513477,-10.128374,8.717228,12.955515,-0.82288945,-2.4105895,2.773673,10.261221,2.6771386,-10.940298,-2.8812253,-8.377209,0.99931383,0.6719383,0.4779547,0.39516574,0.42151746,0.39703584,0.5346687,0.52415645,0.45380664,0.42078027,0.42990378,0.3919424
180937-7-3-15,jackhammer,2858.0289605535745,2186.7283665667483,16.445517010398895,31.558235,35.935795,-13.574453,15.98579,9.922373,8.404237,2.8279557,4.355028,7.4928174,1.2829541,-7.329459,-0.43423864,-8.041584,1.0,0.39183477,0.31231123,0.32252,0.35617068,0.3160016,0.36104202,0.37181193,0.3024354,0.32475606,0.31739387,0.30052564
182800-2-2-3,children_playing,1046.916178623063,1572.4691378615018,16.603998283445396,-265.47025,104.84383,-4.902854,21.555183,-0.82582396,12.583772,2.9341266,8.961413,10.201422,11.689997,7.1121335,9.582002,4.81486,0.82608175,0.91081697,0.693209,0.6358466,0.66755074,0.59353,0.5259884,0.56866795,0.46842852,0.45356146,0.42026874,0.34880802
